"adm2","n_household","population","male","female"
"新北市",1611858,4027730,1966503,2061227
"臺北市",1059691,2581006,1228167,1352839
"桃園市",851778,2270971,1124819,1146152
"臺中市",1007906,2820979,1384963,1436016
"臺南市",704931,1871224,931945,939279
"高雄市",1122045,2760028,1360832,1399196
"宜蘭縣",172970,452355,227895,224460
"新竹縣",207230,572422,292161,280261
"苗栗縣",194055,541226,278994,262232
"彰化縣",397314,1262673,641697,620976
"南投縣",179611,489148,249968,239180
"雲林縣",244213,674622,348860,325762
"嘉義縣",184696,497641,258099,239542
"屏東縣",291922,809765,412454,397311
"臺東縣",83731,214599,110225,104374
"花蓮縣",127520,323441,163522,159919
"澎湖縣",42063,105905,54464,51441
"基隆市",155765,367088,183039,184049
"新竹市",172034,452229,223192,229037
"嘉義市",101294,265416,128300,137116
"金門縣",41882,140325,70021,70304
"連江縣",3444,13403,7753,5650
