"adm2","total_tillyesterday","today","total_tilltoday","delivered_tilltotday"
"臺北市",84995,8700,93695,139700
"新北市",80255,10582,90837,106300
"桃園市",54688,2749,57437,70200
"臺中市",66962,10579,77541,83600
"臺南市",29207,2703,31910,43000
"高雄市",58439,7310,65749,81800
"新竹縣",10505,1291,11796,13100
"彰化縣",23786,959,24745,30800
"雲林縣",8662,1562,10224,12700
"屏東縣",12505,1710,14215,16900
"基隆市",8343,123,8466,9500
"宜蘭縣",9789,452,10241,11600
"新竹市",10894,1694,12588,12300
"苗栗縣",7050,651,7701,8800
"嘉義市",7448,946,8394,12600
"嘉義縣",8119,721,8840,10400
"花蓮縣",9519,756,10275,13000
"臺東縣",3030,764,3794,5000
"南投縣",7670,1309,8979,9900
"澎湖縣",2075,210,2285,3400
"金門縣",1184,219,1403,2300
"連江縣",747,167,914,1400
